main_title, official_title1, official_title2, type, start_date, end_date, tags, rating, average, review_rating
Seikai no Monshou,星界の紋章,Crest of the Stars,TV Series  13 episodes,03.01.1999,28.03.1999,action | adventure | genetic modification | novel | science fiction | space travel,8.17 (4513),8.22 (4543),8.70 (12)
3x3 Eyes,3×3 EYES,3x3 Eyes,OVA  4 episodes,25.07.1991,19.03.1992,action | demon | fantasy | horror | manga | seinen | violence,5.17 (2040),6.98 (2094),6.09 (5)
3x3 Eyes: Seima Densetsu,3×3 EYES -聖魔伝説-,3x3 Eyes: Legend of the Divine Demon,OVA  3 episodes,25.07.1995,25.06.1996,action | contemporary fantasy | demon | fantasy | horror | manga | seinen | violence,5.76 (1572),7.16 (1590),6.66 (3)
Seikai no Senki,星界の戦旗,Banner of the Stars,TV Series  13 episodes,14.04.2000,14.07.2000,action | air force | genetic modification | military | novel | science fiction | space travel,8.02 (3801),8.16 (3825),8.49 (6)
Seikai no Senki II,星界の戦旗II,Banner of the Stars II,TV Series  10 episodes,11.07.2001,26.09.2001,action | genetic modification | military | novel | romance | science fiction | space travel,8.28 (3410),8.25 (3423),8.99 (4)
Seikai no Danshou: Tanjou,星界の断章 誕生,Crest of the Stars: Birth,TV Special,-1,-2,action | genetic modification | novel | romance | science fiction,6.35 (1907),7.37 (1914),6.22 (3)
Mononoke-hime,もののけ姫,Princess Mononoke,Movie,-1,-2,action | adventure | fantasy | mina | new | samurai,8.75 (12312),8.59 (12426),8.95 (11)
Aquarian Age: Sign for Evolution,Aquarian Age: Sign for Evolution,アクエリアンエイジ Sign for Evolution,TV Series  13 episodes,11.01.2002,29.03.2002,coming of age | contemporary fantasy | idol | music | musical band | romance | seinen | super power,3.89 (706),6.33 (714),4.00 (1)
Chiccha na Yuki Tsukai Sugar,ちっちゃな雪使いシュガー,A Little Snow Fairy Sugar,TV Series  24 episodes,03.10.2001,27.03.2002,comedy | contemporary fantasy | fantasy | music | shoujo,5.84 (764),7.13 (769),9.00 (3)
Bastard!! Ankoku no Hakai Shin,BASTARD!! 暗黒の破壊神,Bastard!!,OVA  6 episodes,25.08.1992,25.06.1993,action | fantasy | magic | manga | shounen | super power | violence,4.85 (2241),6.86 (2268),7.08 (8)
Initial D Battle Stage,頭文字[イニシャル]D Battle Stage,No title,15.05.2002,-1,-2,,6.98 (1433),7.16 (2),hidden on 2002-04-21 16:22
Chobits,Chobits,ちょびっツ,TV Series  26 episodes,03.04.2002,25.09.2002,android | comedy | manga | nudity | romance | science fiction | seinen,6.52 (10837),7.76 (11024),8.06 (17)
Noir,Noir,ノワール,TV Series  26 episodes,06.04.2001,28.09.2001,action | conspiracy | gunfights | martial arts | new | seinen | tragedy,6.20 (5413),7.51 (5468),6.91 (17)
RahXephon,RahXephon,ラーゼフォン,TV Series  26 episodes,21.01.2002,11.09.2002,air force | conspiracy | mecha | military | new | piloted robot | post-apocalyptic | seinen | thriller,6.73 (5373),7.75 (5440),8.36 (13)
Kanon,Kanon,Kanon (2002),TV Series  13 episodes,31.01.2002,28.03.2002,erotic game | fantasy | game | high school | magic | romance | school life | seinen | tragedy | visual novel,5.53 (2548),7.24 (2582),7.35 (7)
Onegai Teacher,Please Teacher!,おねがい☆ティーチャー,TV Series  12 episodes,10.01.2002,28.03.2002,alien | humanoid alien | new | romance | school life | seinen | sudden girlfriend appearance,6.34 (7430),7.71 (7553),7.81 (10)
Fullmetal Panic!,Full Metal Panic!,フルメタル・パニック!,TV Series  24 episodes,08.01.2002,18.06.2002,action | comedy | mecha | military | novel | parallel world | piloted robot | romance | science fiction | seinen,7.37 (13779),8.15 (13986),7.56 (23)
Musekinin Kanchou Tylor,The Irresponsible Captain Tylor,無責任艦長タイラー,TV Series  26 episodes,25.01.1993,19.07.1993,comedy | humanoid alien | military | novel | parody | science fiction | space travel,7.63 (1535),7.82 (1543),6.77 (3)
Rizelmine,りぜるまいん,No title,03.04.2002 till 22.12.2002,-1,-2,,6.72 (1629),6.16 (3),hidden on 2002-04-22 14:19
Tokyo Underground,東京アンダーグラウンド,No title,02.04.2002 till 24.09.2002,-1,-2,,6.85 (1806),7.10 (3),hidden on 2002-04-22 18:27
Full Moon o Sagashite,Full Moon,満月[フルムーン]をさがして,TV Series  52 episodes,06.04.2002,29.03.2003,idol | manga | music | romance | shoujo,7.55 (2457),8.08 (2506),8.53 (18)
